method,group_id,seed,recall@50,mrr,map,ndcg@50,tie_fraction
pfam,BGC0001700,20260814,1.0,0.15263832711014028,1.0,1.0,0.7117281105990783
pfam,BGC0001945,20260814,0.82,0.6604493394152077,0.8208986788304152,0.8607329893955651,0.6522811059907834
pfam,BGC0001952,20260814,1.0,0.25860088985088986,1.0,1.0,0.7207834101382489
pfam,BGC0002061,20260814,0.928181818181818,0.12208357511739296,0.4148832695173288,0.6503198016343101,0.7278110599078341
pfam,BGC0002095,20260814,1.0,0.16697917736191698,0.4988517433338481,0.7439434071224439,0.7297235023041475
pfam,BGC0002378,20260814,0.6940000000000001,0.3820754838971805,0.6726302149927755,0.7709230172545384,0.7285023041474655
pfam,BGC0002625,20260814,1.0,0.2745343040797586,1.0,1.0,0.7354608294930876
raw_esm_mean,BGC0000031,20260814,0.4168181818181818,0.11358476922642137,0.3813036360270719,0.5137900039063825,0.17516129032258065
raw_esm_mean,BGC0000078,20260814,0.965,0.3425938288466752,0.4247709910266837,0.5959543115240054,0.16018433179723499
raw_esm_mean,BGC0000171,20260814,0.8346153846153846,0.22864201128627834,0.8360604019443062,0.8838439454331112,0.17428571428571427
raw_esm_mean,BGC0000175,20260814,0.5882352941176471,0.05890516693396805,0.9813274270413176,1.0,0.18052995391705068
raw_esm_mean,BGC0000469,20260814,0.795,0.5001967627375591,0.5659219989396382,0.6862379886175518,0.1659677419354839
raw_esm_mean,BGC0001140,20260814,0.7575757575757575,0.07196802621147039,0.9757263673147596,1.0,0.18069124423963132
raw_esm_mean,BGC0001441,20260814,0.746268656716418,0.07093641349580708,0.9642047544951472,1.0,0.17421658986175115
raw_esm_mean,BGC0001574,20260814,0.7804545454545455,0.1539511552732353,0.7766343860908052,0.8401228022331138,0.17407834101382488
raw_esm_mean,BGC0001657,20260814,0.57,0.5725375139977603,0.5725375139977603,0.57,0.16587557603686634
raw_esm_mean,BGC0001700,20260814,0.9336,0.15008957688335844,0.9373478575736796,0.9563355779684812,0.16725806451612904
raw_esm_mean,BGC0001945,20260814,0.82,0.6551168103688823,0.8102336207377644,0.8551134446359382,0.17205069124423966
raw_esm_mean,BGC0001952,20260814,0.965,0.25562934657918324,0.9643414807395208,0.9767545241613004,0.17705069124423964
raw_esm_mean,BGC0002061,20260814,0.8618181818181818,0.13543531714457466,0.42774205009721145,0.6516338055671028,0.17223502304147467
raw_esm_mean,BGC0002095,20260814,1.0,0.17122801572763546,0.5033096760075374,0.7500115279522563,0.1696082949308756
raw_esm_mean,BGC0002378,20260814,0.6920000000000001,0.31353783550654635,0.5104659971073585,0.6721800094784531,0.17546082949308756
raw_esm_mean,BGC0002625,20260814,1.0,0.2743868000686182,0.998377455877456,0.9995917450462388,0.1723963133640553
setnet,BGC0000031,20260814,0.7622727272727273,0.14370696333041272,0.6541683644307429,0.7850152017227807,0.15034562211981567
setnet,BGC0000078,20260814,0.635,0.3165677834379633,0.3652635556241686,0.4817191014406771,0.1477880184331797
setnet,BGC0000171,20260814,0.933846153846154,0.23929180723577784,0.931567304255884,0.9563633395064012,0.14442396313364056
setnet,BGC0000175,20260814,0.5882352941176471,0.0591010288414467,0.9978531503480509,1.0,0.1486635944700461
setnet,BGC0000469,20260814,1.0,0.6866098484848484,0.873219696969697,0.9336824680895162,0.148110599078341
setnet,BGC0001140,20260814,0.7575757575757575,0.07233980354911967,1.0,1.0,0.14599078341013827
setnet,BGC0001441,20260814,0.746268656716418,0.07136273807735229,0.9920081384017309,1.0,0.14758064516129032
setnet,BGC0001574,20260814,0.7927272727272728,0.15588763216798945,0.7803071196693122,0.8504372305387977,0.14794930875576034
setnet,BGC0001657,20260814,1.0,0.7266666666666667,0.7266666666666667,0.7716008732816377,0.14566820276497694
setnet,BGC0001700,20260814,0.9336,0.1501931562473255,0.9413065933701426,0.9558487639563584,0.14158986175115207
setnet,BGC0001945,20260814,0.82,0.6612699175274241,0.8225398350548483,0.8607329893955651,0.15016129032258066
setnet,BGC0001952,20260814,1.0,0.25860088985088986,1.0,1.0,0.14751152073732718
setnet,BGC0002061,20260814,0.8618181818181818,0.12699094948395664,0.4079550608555572,0.6350024011970444,0.1477880184331797
setnet,BGC0002095,20260814,1.0,0.13321778690249042,0.4191781850723759,0.6780775144814871,0.14700460829493087
setnet,BGC0002378,20260814,0.88,0.33507327900783224,0.5634011534733427,0.7629282250669905,0.1484101382488479
setnet,BGC0002625,20260814,1.0,0.2745343040797586,1.0,1.0,0.14714285714285716
ensemble,BGC0000031,20260810,0.9186363636363636,0.14915376321850946,0.7357251809407745,0.8853501118536933,0.1492626728110599
ensemble,BGC0000078,20260810,0.79,0.5806480742934209,0.691296148586842,0.773568891710175,0.14963133640552995
ensemble,BGC0000171,20260810,1.0,0.24445351229966614,0.9977619047619048,0.9994860025337912,0.14463133640552994
ensemble,BGC0000175,20260810,0.5882352941176471,0.05906642031878891,0.994920031547148,1.0,0.14880184331797236
ensemble,BGC0000469,20260810,1.0,0.75,1.0,1.0,0.1490783410138249
ensemble,BGC0001140,20260810,0.7575757575757575,0.07233980354911967,1.0,1.0,0.14711981566820276
ensemble,BGC0001441,20260810,0.746268656716418,0.07148287175188399,1.0,1.0,0.14792626728110597
ensemble,BGC0001574,20260810,0.9604545454545454,0.1643508134828189,0.9308792552776546,0.9661913537222756,0.14548387096774193
ensemble,BGC0001657,20260810,0.78,0.7811,0.7811,0.78,0.1470967741935484
